diffusion,k_off,done
1.0,0.0,True
1.0,0.05,True
0.1,0.0,True
0.05,0.0,True
0.03,0.0,True
0.02,0.0,True
1.0,20.0,True
0.02,20.0,True
1.0,5.0,True
1.0,10.0,True
1.0,15.0,True
0.02,5.0,True
0.02,10.0,True
0.02,15.0,True
0.3,0.0,True
0.3,5.0,True
0.3,10.0,True
0.3,15.0,True
0.3,20.0,True
0.5,0.0,True
0.5,5.0,True
0.5,10.0,True
0.5,15.0,True
0.5,20.0,True
0.8,0.0,True
0.8,5.0,True
0.8,10.0,True
0.8,15.0,True
0.8,20.0,True
0.02,0.05,True
0.3,0.05,True
0.5,0.05,True
0.8,0.05,True
1.0,0.02,True
0.8,0.02,True
0.5,0.02,True
0.3,0.02,True
0.02,0.02,True
1.0,0.1,True
0.8,0.1,True
0.5,0.1,True
0.3,0.1,True
0.02,0.1,True
1.0,0.005,True
0.8,0.005,True
0.5,0.005,True
0.3,0.005,True
0.02,0.005,True
