Dam,Pe,done
0.01,0.1,True
0.1,0.1,True
1.0,0.1,True
10.0,0.1,True
100.0,0.1,True
1000.0,0.1,True
0.01,5.0,True
0.1,5.0,True
1.0,5.0,True
10.0,5.0,True
100.0,5.0,True
1000.0,5.0,True
0.01,10.0,True
0.1,10.0,True
1.0,10.0,True
10.0,10.0,True
100.0,10.0,True
1000.0,10.0,True
0.01,15.0,True
0.1,15.0,True
1.0,15.0,True
10.0,15.0,True
100.0,15.0,True
1000.0,15.0,True
0.01,20.0,True
0.1,20.0,True
1.0,20.0,True
10.0,20.0,True
100.0,20.0,True
1000.0,20.0,True
0.01,0.01,True
0.1,0.01,True
1.0,0.01,True
10.0,0.01,True
100.0,0.01,True
1000.0,0.01,True
